sku_variant,product_name,technical_spec,product_type,unit,opening_balance_previous,period_opening,inbound,outbound_or_value,balance,pack_quantity,product_code,product_url
454001017,جعبه همه کاره دایانا بدون درب 1 موکا,12,محصول نهایی,بسته,0,4,133.027778,107500,44,36,4540010,https://ashkanplastic.com/product/4540010/
454001009,جعبه همه کاره دایانا بدون درب 1 وانیلی,12,محصول نهایی,بسته,0,102,0,107500,46,36,4540010,https://ashkanplastic.com/product/4540010/
454001201,جعبه همه کاره دایانا بدون درب 2 صورتی,12,محصول نهایی,بسته,0,23,0.041667,133500,5,24,4540012,https://ashkanplastic.com/product/4540012/
454001202,جعبه همه کاره دایانا بدون درب 2 طوسی,12,محصول نهایی,بسته,0,14,208.458333,133500,67,24,4540012,https://ashkanplastic.com/product/4540012/
454001207,جعبه همه کاره دایانا بدون درب 2 کرپ,12,محصول نهایی,بسته,0,5,81.541667,133500,62,24,4540012,https://ashkanplastic.com/product/4540012/
454001217,جعبه همه کاره دایانا بدون درب 2 موکا,12,محصول نهایی,بسته,0,95,135.083334,133500,78,24,4540012,https://ashkanplastic.com/product/4540012/
454001209,جعبه همه کاره دایانا بدون درب 2 وانیلی,12,محصول نهایی,بسته,0,30,56.250001,133500,45,24,4540012,https://ashkanplastic.com/product/4540012/
454001401,جعبه همه کاره دایانا بدون درب 3 صورتی,12,محصول نهایی,بسته,0,32,0.125,195000,14,24,4540014,https://ashkanplastic.com/product/4540014/
454001402,جعبه همه کاره دایانا بدون درب 3 طوسی,12,محصول نهایی,بسته,0,0,189.541667,195000,88,24,4540014,https://ashkanplastic.com/product/4540014/
454001407,جعبه همه کاره دایانا بدون درب 3 کرپ,12,محصول نهایی,بسته,0,0,81.833334,195000,74,24,4540014,https://ashkanplastic.com/product/4540014/
454001417,جعبه همه کاره دایانا بدون درب 3 موکا,12,محصول نهایی,بسته,0,50,177.041667,195000,78,24,4540014,https://ashkanplastic.com/product/4540014/
454001409,جعبه همه کاره دایانا بدون درب 3 وانیلی,12,محصول نهایی,بسته,0,27,79.458333,195000,58,24,4540014,https://ashkanplastic.com/product/4540014/
